7,25
-3,10
18,-22
-16,25
-18,-19
-10,-5
10,21
-7,-19
-24,3
-29,21
8,-2
-21,-19
-6,-9
-26,-12
-22,-25
8,-13
-7,19
8,-16
16,8
28,2
16,-9
-10,-10
-13,-22
3,-30
-22,22
18,-7
-7,22
-18,-18
-24,10
-20,-19
-29,-15
8,12
28,27
-16,13
-9,-22
-15,26
-25,-14
-28,28
18,1
-6,24
0,7
-8,13
-12,10
19,-19
-23,8
-9,28
2,1
-28,-7
20,-26
27,15
4,-2
-7,6
23,-15
-8,-26
28,-8
-2,3
-25,16
18,5
16,28
28,1
-11,-11
8,-28
18,-14
4,2
16,-26
-16,-1
-1,11
-28,13
18,16
13,-14
-12,13
13,7
-8,-1
-14,4
-1,13
19,-26
-21,20
-12,27
15,-9
19,-22
-21,-3
-25,-21
-30,17
-28,-11
-15,6
-18,-22
-25,21
11,-16
3,16
-20,14
22,-22
-29,2
-23,3
25,21
24,-13
-13,-1
-29,30
-16,-8
2,-16
11,-9
-15,3
-29,-26
-15,8
13,17
-30,-18
7,-5
-15,17
10,1
19,-24
-1,-10
-21,-30
23,-27
27,12
-1,-15
23,-25
-16,8
19,-15
-7,-6
26,-30
-28,19
-23,0
-7,2
17,9
23,-10
12,19
-18,-11
0,-29
8,-24
27,10
13,19
-24,19
-16,-27
-28,7
2,-19
10,-23
23,-7
27,-12
-16,15
-5,19
0,22
-15,24
25,14
-13,-7
26,8
10,-13
-26,24
-23,7
-21,4
-26,-7
-22,-23
-9,29
16,-27
11,-25
4,7
8,23
-15,-15
-29,23
23,-20
8,-23
24,-19
-25,23
-17,-27
13,2
-19,-20
16,0
11,-28
13,-5
-6,6
1,-26
-11,24
-16,-22
-12,2
7,5
17,22
10,18
-2,-25
-25,27
-4,8
5,-29
30,26
20,-22
16,19
3,21
-15,-14
11,-1
10,19
-22,-28
4,-25
19,12
26,7
2,-17
-15,25
24,-16
-14,3
27,7
3,-13
-22,-30
13,-3
25,28
-2,-21
0,-3
24,21
-14,28
3,14
13,-26
28,-14
15,-21
-27,-17
-6,-1
5,-7
-5,-25
-19,1
-30,4
3,13
-17,12
-21,30
-19,-22
9,4
20,-20
26,30
14,-16
16,18
25,4
28,22
-23,-19
-26,22
21,-28
6,2
14,14
-20,-27
-27,28
21,22
-6,-22
-26,-13
26,-29
11,-10
-23,-24
-1,4
-5,12
-5,-2
2,10
1,0
16,-25
-5,13
20,13
-28,-15
-14,-19
27,-15
6,-26
7,-14
-24,-14
-30,-29
12,-15
-11,-5
21,15
14,-2
-1,-5
21,-7
-19,27
18,18
30,16
-7,-1
-12,-19
16,13
20,-2
27,30
5,10
5,-14
27,-20
22,0
29,18
10,16
30,24
-28,-9
-4,-18
8,21
26,-17
-9,-26
26,-19
24,14
5,22
3,-16
12,30
-10,-14
-22,20
4,12
28,-12
15,23
26,22
-8,-6
-5,-9
-24,2
-6,23
